mse	rmse	mae	pcc	scc
1	2.0331025	1.425869	1.0858697358084015	0.8859424905049561	0.8516797648728233
2	1.5350244	1.238961	0.9138990041812199	0.8975422615346015	0.8655362129550008
3	1.6035018	1.2662945	0.9498312774550338	0.8976723929915691	0.8649790096031506
4	1.5589836	1.2485926	0.9362165388427977	0.899842212691039	0.8664759502772427
5	1.4244677	1.1935107	0.8701399706115609	0.9062405909571443	0.8747847054472814
6	1.5654271	1.2511703	0.9184107390446178	0.905248359073535	0.8731417630609237
7	1.5460701	1.2434107	0.9208376878077428	0.8996213571133347	0.8657614098418253
8	1.4704461	1.2126195	0.8917439967495807	0.9025321214149206	0.8661822438347818
9	1.6591327	1.2880733	0.9692833736165949	0.889882801795014	0.8504977181416007
10	1.4530563	1.2054279	0.888846980344373	0.9017440165244344	0.8678541054188477
11	1.450717	1.2044572	0.9046985186375059	0.9028845815557712	0.8693997944697156
12	1.3303574	1.1534113	0.8481281264330798	0.9110005709423759	0.8775507462397687
13	1.3531241	1.1632386	0.8561806255023137	0.9108937178182279	0.8797789685830508
14	1.3291606	1.1528922	0.8553123166914377	0.9112586806134317	0.877920917272345
15	1.3317631	1.1540204	0.8550679194923362	0.9157250598541776	0.8827264875975461
16	1.2171073	1.1032258	0.8149624324002727	0.919593624630777	0.8886233877659381
17	1.205832	1.0981039	0.808068625335236	0.9199576080180004	0.888126723285637
18	1.1839107	1.0880766	0.806810629508531	0.9214447092644078	0.8915566069505787
19	1.1725724	1.0828538	0.7957766036025483	0.9228511564754811	0.8936991311297731
20	1.1752437	1.0840865	0.8123638971425633	0.9228574450119289	0.8920096035711226
21	1.1797196	1.086149	0.8145491143122185	0.9233604147000103	0.8934824724482571
22	1.1815559	1.0869939	0.8164668343898577	0.9254555507145256	0.8965194394691518
23	1.1295359	1.0627962	0.7848374602191919	0.9248521865667659	0.8950592380152749
24	1.0753609	1.0369961	0.7670185249087843	0.9282562845517861	0.900135868312752
25	1.1075084	1.0523822	0.7789017948503402	0.9258610434235057	0.8970793858477321
26	1.1202395	1.0584136	0.7772612707542917	0.9281570327164086	0.8995149993354618
27	1.0866199	1.0424106	0.772821267076469	0.9281649258583708	0.899955956703424
28	1.0393758	1.0194978	0.7497720076070845	0.930865946260901	0.9028577109756074
29	1.0246673	1.0122585	0.7440183255203919	0.9317528283546641	0.9032627947116503
30	1.0564939	1.0278589	0.7651017836621791	0.9324265929984079	0.9039927606214334
31	1.0504326	1.0249062	0.7575085601505156	0.929864967830166	0.9011685606591138
32	0.99845695	0.9992282	0.7374174871507284	0.9334946360752023	0.9057269989281237
33	1.0298861	1.0148331	0.7555037498749473	0.9317875992492246	0.9045439196385965
34	1.0036479	1.0018224	0.7421080023767478	0.9334896528508342	0.9065102556390351
35	1.0285097	1.0141547	0.7494316505009193	0.9335777298268753	0.9064832541457737
36	1.0122306	1.0060967	0.7417780082450423	0.9338657148669601	0.9071039312189539
37	0.9909956	0.99548763	0.7368299663808949	0.9349439271257838	0.9078066179875207
38	0.98807484	0.9940195	0.7360834747165804	0.9344039128152859	0.907683133644163
39	0.9728457	0.9863294	0.7260456070591182	0.9352576611216504	0.9080859806300455
40	0.99277383	0.9963804	0.7293212363436445	0.9356122870964374	0.9100218236657741
41	0.9613062	0.98046225	0.7172813798673072	0.9363772673253222	0.9105984844143992
42	0.96342796	0.98154366	0.7248953273851515	0.9360692782602066	0.9099957090311508
43	0.9474359	0.9733632	0.715225503549369	0.9377559009937094	0.9112208313499666
44	0.95343256	0.9764387	0.7206464185550683	0.9365832470388937	0.9098271260490637
45	0.9888213	0.99439496	0.7296912193651974	0.9352490134118218	0.9072517408986929
46	0.9804182	0.9901607	0.7281210893177762	0.9356310727648586	0.9092394892457156
47	0.9284145	0.9635427	0.706635040962524	0.9386226152027175	0.9120378896710165
48	0.97524786	0.9875464	0.7226594301371625	0.9358131402676975	0.9079389051475143
49	0.9406901	0.9698918	0.7112625545483765	0.9382706940366394	0.911892484284171
50	0.954767	0.9771218	0.7187290430580024	0.9373683293341089	0.9114185089336618
51	0.9640253	0.9818479	0.7188818403339446	0.937270877285338	0.9113507221789174
52	0.9306079	0.9646802	0.7041208782467923	0.9391077418183239	0.9129014924605718
53	0.9391692	0.96910745	0.7095178866427291	0.9392771814249711	0.9145151242310895
54	0.94430435	0.97175324	0.7153648744900835	0.9380900374145835	0.9115907693337296
55	0.9262721	0.9624303	0.7034790603605011	0.9399407043596132	0.9135859166564967
56	0.9004103	0.9488995	0.6992468810176878	0.9403371222252037	0.9152407647368945
57	0.93052495	0.9646372	0.708289535843703	0.9383847796053055	0.9125744600848372
58	0.8975225	0.94737667	0.6968439114352871	0.9406762686192022	0.914394807812069
59	0.9057093	0.95168763	0.6981163620426301	0.940238890695462	0.9146900656332729
60	0.9257722	0.96217054	0.7044389876533721	0.939197450822086	0.9141072717008737
61	0.91543984	0.9567862	0.7075691688818252	0.939700914479944	0.9144667199618325
62	0.91032875	0.9541115	0.7020277204867891	0.940119895537834	0.9145988209468578
63	0.90143347	0.9494385	0.6957989365223971	0.9415201109556854	0.915839281295067
64	0.8994318	0.9483838	0.6957780400884402	0.940262522278329	0.9149849568338017
65	0.9223885	0.9604106	0.6980282479102233	0.9392610523120605	0.9134110347284389
66	0.93013275	0.9644339	0.7092021178525555	0.9383020051365849	0.9121021809191618
67	0.90414125	0.9508634	0.6987491245248834	0.9401433770112989	0.9146469452387319
68	0.8978862	0.9475686	0.7008873920994745	0.9406208344115646	0.914690127398514
